epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,936.464,0.52106,0.42962,0.90638,0.96136,0.98125,0.99301,0.92218,0.37488,0.27744,0.79895,0.0011882,0.0011882,0.0011882
43,960.05,0.51704,0.43692,0.90784,0.9632,0.98125,0.99357,0.92107,0.41104,0.27535,0.79772,0.0011684,0.0011684,0.0011684
44,983.641,0.49906,0.43125,0.90149,0.95743,0.9875,0.99189,0.89753,0.46563,0.29746,0.81124,0.0011486,0.0011486,0.0011486
45,1005.86,0.50742,0.40336,0.90192,0.95594,0.9875,0.98989,0.89983,0.46819,0.30581,0.81026,0.0011288,0.0011288,0.0011288
46,1027.24,0.49662,0.41768,0.8942,0.95726,0.9875,0.98979,0.89956,0.47371,0.30398,0.81651,0.001109,0.001109,0.001109
47,1048.01,0.50184,0.40942,0.89655,0.95758,0.98759,0.99439,0.91861,0.43246,0.27442,0.80664,0.0010892,0.0010892,0.0010892
48,1068.25,0.49719,0.40808,0.89588,0.95477,0.9875,0.98722,0.90159,0.43792,0.30026,0.80685,0.0010694,0.0010694,0.0010694
49,1088.31,0.48904,0.40429,0.88901,0.96223,0.9875,0.99308,0.90929,0.43824,0.28106,0.80806,0.0010496,0.0010496,0.0010496
50,1108.47,0.5024,0.42097,0.89897,0.95733,0.98168,0.9886,0.90043,0.433,0.28909,0.8056,0.0010298,0.0010298,0.0010298
51,1128.48,0.49512,0.40213,0.89124,0.95506,0.9875,0.99288,0.91594,0.38712,0.27834,0.79511,0.00101,0.00101,0.00101
52,1148.5,0.48686,0.3967,0.88686,0.96336,0.98594,0.99408,0.92193,0.39279,0.26777,0.79408,0.0009902,0.0009902,0.0009902
53,1168.44,0.48864,0.39313,0.89643,0.96918,0.98267,0.99102,0.90508,0.44693,0.28483,0.80683,0.0009704,0.0009704,0.0009704
54,1188.37,0.49392,0.40141,0.89706,0.95688,0.9875,0.99039,0.91877,0.4088,0.27604,0.79872,0.0009506,0.0009506,0.0009506
55,1208.47,0.5028,0.41641,0.8998,0.97017,0.9875,0.98671,0.91591,0.38903,0.26961,0.79649,0.0009308,0.0009308,0.0009308
56,1228.8,0.4947,0.40222,0.89672,0.95703,0.9875,0.99286,0.91752,0.38969,0.27741,0.80063,0.000911,0.000911,0.000911
57,1248.61,0.4772,0.39729,0.89077,0.97088,0.9875,0.99054,0.9041,0.43376,0.27104,0.80461,0.0008912,0.0008912,0.0008912
58,1268.33,0.4837,0.39842,0.88808,0.96336,0.9875,0.99254,0.92705,0.40476,0.27255,0.80128,0.0008714,0.0008714,0.0008714
59,1288.17,0.47591,0.39136,0.88691,0.95959,0.9875,0.99372,0.91257,0.44137,0.28163,0.80983,0.0008516,0.0008516,0.0008516
60,1308.32,0.46038,0.38146,0.87817,0.96968,0.9875,0.98971,0.8973,0.44943,0.27465,0.80977,0.0008318,0.0008318,0.0008318
61,1328.55,0.47782,0.39711,0.8898,0.96324,0.98251,0.9937,0.9256,0.39832,0.26042,0.79587,0.000812,0.000812,0.000812
62,1348.59,0.45966,0.38252,0.87749,0.9613,0.98125,0.99409,0.91526,0.41362,0.25691,0.80314,0.0007922,0.0007922,0.0007922
63,1368.04,0.45992,0.38196,0.88261,0.95609,0.9875,0.99313,0.92579,0.39523,0.25911,0.7932,0.0007724,0.0007724,0.0007724
64,1388.42,0.47183,0.38191,0.88249,0.95207,0.99326,0.99421,0.91533,0.42966,0.27613,0.81187,0.0007526,0.0007526,0.0007526
65,1408.58,0.47085,0.38348,0.88435,0.95843,0.98125,0.99365,0.92396,0.38835,0.25935,0.7945,0.0007328,0.0007328,0.0007328
66,1428.12,0.45484,0.3596,0.8839,0.95864,0.9875,0.98961,0.91641,0.39158,0.25288,0.80168,0.000713,0.000713,0.000713
67,1448.55,0.45408,0.37444,0.87944,0.95207,0.99319,0.99189,0.91808,0.41367,0.26444,0.80272,0.0006932,0.0006932,0.0006932
68,1468.25,0.46111,0.38416,0.87657,0.95591,0.98125,0.99273,0.92033,0.4083,0.28346,0.80431,0.0006734,0.0006734,0.0006734
69,1488,0.45685,0.37457,0.87981,0.95266,0.9875,0.99226,0.92709,0.38864,0.26561,0.79689,0.0006536,0.0006536,0.0006536
70,1508.4,0.45952,0.36751,0.88099,0.95424,0.9875,0.98912,0.91509,0.42151,0.273,0.80192,0.0006338,0.0006338,0.0006338
71,1528.9,0.44616,0.3657,0.87345,0.95754,0.9875,0.99292,0.92693,0.40215,0.26691,0.80068,0.000614,0.000614,0.000614
72,1549.35,0.45018,0.36256,0.87608,0.95596,0.98125,0.99338,0.92497,0.40269,0.26669,0.80488,0.0005942,0.0005942,0.0005942
73,1569.78,0.43932,0.36671,0.86883,0.9634,0.98697,0.98989,0.92048,0.40561,0.26041,0.80228,0.0005744,0.0005744,0.0005744
74,1590.12,0.44904,0.36956,0.8746,0.95278,0.9875,0.99266,0.91747,0.43439,0.27736,0.80884,0.0005546,0.0005546,0.0005546
75,1610.58,0.43776,0.3558,0.87312,0.96265,0.9875,0.9901,0.91686,0.42214,0.27398,0.80894,0.0005348,0.0005348,0.0005348
76,1630.99,0.43739,0.35276,0.86658,0.95946,0.9875,0.9926,0.92305,0.39943,0.26382,0.8018,0.000515,0.000515,0.000515
77,1651.41,0.43627,0.34865,0.87043,0.9549,0.9875,0.99239,0.91726,0.42854,0.27454,0.81164,0.0004952,0.0004952,0.0004952
78,1671.9,0.43598,0.35186,0.86822,0.95745,0.98443,0.99178,0.92298,0.41119,0.26627,0.80598,0.0004754,0.0004754,0.0004754
79,1692.39,0.44081,0.36158,0.874,0.96932,0.98741,0.98971,0.91455,0.38906,0.26159,0.79938,0.0004556,0.0004556,0.0004556
80,1712.99,0.42572,0.34696,0.87156,0.95728,0.9875,0.9923,0.92119,0.40408,0.25703,0.7995,0.0004358,0.0004358,0.0004358
81,1733.46,0.43057,0.34685,0.87156,0.96927,0.98556,0.98802,0.9186,0.41012,0.25455,0.80189,0.000416,0.000416,0.000416
82,1754,0.43176,0.35807,0.87383,0.95987,0.98125,0.98795,0.92237,0.41173,0.26492,0.80264,0.0003962,0.0003962,0.0003962
83,1774.5,0.41976,0.34048,0.86588,0.95363,0.9875,0.98736,0.90913,0.42828,0.27318,0.80711,0.0003764,0.0003764,0.0003764
84,1795.1,0.41308,0.32666,0.86822,0.95743,0.98392,0.98772,0.90939,0.41181,0.26118,0.80058,0.0003566,0.0003566,0.0003566
85,1815.72,0.42304,0.33841,0.86683,0.95739,0.98296,0.98733,0.91539,0.42681,0.26968,0.8028,0.0003368,0.0003368,0.0003368
